454 1196
4256589586 -82.5252325 40.0708239
3894635954 -82.5259141 40.0728515
6966852344 -82.5188603 40.0681431
198551749 -82.5214127 40.0739756
198655341 -82.5249175 40.0732824
198519718 -82.5250702 40.0694434
9365640254 -82.5190031 40.0718838
7234367518 -82.5202776 40.0681153
7234391440 -82.5183477 40.0677008
4256589585 -82.5249068 40.0708027
198417650 -82.521391 40.078327
11329562491 -82.5195142 40.077573
7991949373 -82.5197314 40.0737968
198417647 -82.521259 40.078344
7234367415 -82.5251415 40.0681902
11329562484 -82.5211741 40.0800893
3894633165 -82.5236573 40.0714081
198569952 -82.540028 40.069233
6956911707 -82.520067 40.0733999
7926895266 -82.5227986 40.0746854
198279134 -82.5402071 40.0862294
198409946 -82.5195926 40.070574
3894630229 -82.5255768 40.0715412
6837423859 -82.517161 40.0745256
3894641828 -82.5258975 40.0709165
11329562520 -82.5112857 40.0781412
3531016709 -82.5189524 40.0708833
198588884 -82.5176154 40.0742012
198348039 -82.527991 40.073945
198269617 -82.5196673 40.0745782
7234367509 -82.5219971 40.0679089
9365640251 -82.5195351 40.071827
6829774077 -82.5163648 40.0679859
8137815354 -82.5168887 40.0720665
3894645113 -82.5252358 40.0725563
8133088575 -82.5257439 40.0668759
9365640193 -82.5189686 40.0717801
9365640192 -82.5184028 40.072338
7933485239 -82.5212588 40.0774859
3894635412 -82.5236706 40.0702566
7933475787 -82.5229695 40.0680707
6829774076 -82.5163923 40.0677502
5546400172 -82.5238695 40.0709774
8307344137 -82.5246447 40.0701616
7234367430 -82.5258426 40.0683649
7234367403 -82.5258047 40.0681282
8137815363 -82.5176563 40.0727313
5546400189 -82.5184252 40.0708758
8317381121 -82.5218299 40.0754071
8654444838 -82.5161595 40.0713249
3894637552 -82.5241916 40.0700278
198551736 -82.5166468 40.0690248
198378313 -82.520779 40.077171
8133088566 -82.5243557 40.0682394
11329728150 -82.521444 40.0775238
198620125 -82.521755 40.0697239
7234367449 -82.5284093 40.0664866
11329265976 -82.5181871 40.0686374
11983511469 -82.5188465 40.0680008
11329562488 -82.5197672 40.078716
11329468178 -82.5184144 40.0690493
10313376793 -82.5220502 40.0738113
11329728167 -82.5140875 40.077001
6956908777 -82.5197422 40.0739912
7234367519 -82.5200239 40.0681033
198582604 -82.5239189 40.0654191
8341654023 -82.5209249 40.0767813
7019363084 -82.5176214 40.067973
8341488157 -82.5278372 40.067972
6847572636 -82.5201639 40.0769812
7234367436 -82.5284039 40.0684934
7234367508 -82.5218276 40.0678993
11329562485 -82.5206732 40.0799309
12075173712 -82.518332 40.069045
198592631 -82.5201167 40.0685988
8137815362 -82.5178898 40.0726173
198625969 -82.5281541 40.0696495
11329468183 -82.5200122 40.0681028
7234391444 -82.51912 40.0678991
8317381120 -82.5216617 40.0753556
3894654165 -82.5250966 40.069188
3894630216 -82.524081 40.0709955
7933485241 -82.5210907 40.0775579
8006712603 -82.5160373 40.0717963
9365640169 -82.5184106 40.0724991
10313376797 -82.5225482 40.0734806
198558162 -82.5201688 40.0679563
198512572 -82.5184361 40.0678624
8040850748 -82.5220225 40.0731032
198590598 -82.5249556 40.0733301
7019363083 -82.5176394 40.0678184
10313376798 -82.5225079 40.073491
8137815397 -82.5193779 40.0682169
7234374852 -82.5183313 40.0680318
6405230053 -82.5186168 40.0686781
8040850750 -82.5218589 40.0722295
5546400173 -82.52326 40.0705427
5999570837 -82.515887 40.0771086
7019373488 -82.5171766 40.0684523
3894630231 -82.5254983 40.0715701
5803664457 -82.5184143 40.0680375
198620124 -82.521792 40.0692832
5506729663 -82.524135 40.0680368
198373726 -82.5235367 40.0681931
7019373495 -82.5179397 40.0678347
7234367520 -82.5200403 40.0679493
